codigos,nome,classe,qtd,part
ALOS3,ALLOS,ON  EJ  NM,476976044,0.438
ABEV3,AMBEV S/A,ON,4394835131,2.765
ASAI3,ASSAI,ON      NM,1345832968,0.506
AURE3,AUREN,ON      NM,323738747,0.119
AMOB3,AUTOMOB,ON      NM,533959816,0.006
AZUL4,AZUL,PN      N2,326872005,0.054
AZZA3,AZZAS 2154,ON      NM,136643320,0.156
B3SA3,B3,ON  EJ  NM,5392540963,3.139
BBSE3,BBSEGURIDADE,ON      NM,637332335,1.203
BBDC3,BRADESCO,ON      N1,1484426957,0.823
BBDC4,BRADESCO,PN      N1,5129958973,3.153
BRAP4,BRADESPAR,PN      N1,250969312,0.215
BBAS3,BRASIL,ON      NM,2842613858,3.851
BRKM5,BRASKEM,PNA     N1,265388400,0.147
BRAV3,BRAVA,ON      NM,460791208,0.506
BRFS3,BRF SA,ON      NM,814523002,0.755
BPAC11,BTGP BANCO,UNT     N2,1287247964,2.138
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.368
CRFB3,CARREFOUR BR,ON      NM,532664283,0.185
CCRO3,CCR SA,ON      NM,991920937,0.555
CMIG4,CEMIG,PN  EJ  N1,1858636840,0.914
COGN3,COGNA ON,ON      NM,1872454628,0.171
CPLE6,COPEL,PNB     N2,1679233590,0.833
CSAN3,COSAN,ON      NM,1150987430,0.417
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.339
CMIN3,CSNMINERACAO,ON      N2,1646519336,0.496
CVCB3,CVC BRASIL,ON  ATZ NM,525591097,0.058
CYRE3,CYRELA REALT,ON      NM,273755006,0.309
ELET3,ELETROBRAS,ON      N1,1977170723,3.868
ELET6,ELETROBRAS,PNB     N1,268875696,0.569
EMBR3,EMBRAER,ON      NM,734631801,2.395
ENGI11,ENERGISA,UNT     N2,326175300,0.627
ENEV3,ENEVA,ON      NM,1929556616,1.089
EGIE3,ENGIE BRASIL,ON      NM,255236938,0.465
EQTL3,EQUATORIAL,ON      NM,1253541010,1.934
FLRY3,FLEURY,ON      NM,455988366,0.253
GGBR4,GERDAU,PN      N1,1242683687,1.021
GOAU4,GERDAU MET,PN      N1,649238303,0.295
NTCO3,GRUPO NATURA,ON      NM,850935197,0.403
HAPV3,HAPVIDA,ON      NM,4779395040,0.501
HYPE3,HYPERA,ON      NM,370735677,0.347
IGTI11,IGUATEMI S.A,UNT     N1,211783588,0.188
IRBR3,IRBBRASIL RE,ON      NM,81838243,0.202
ISAE4,ISA ENERGIA,PN      N1,395801044,0.424
ITSA4,ITAUSA,PN      N1,5857796242,2.656
ITUB4,ITAUUNIBANCO,PN  EB  N1,5272192664,7.956
JBSS3,JBS,ON      NM,1145962972,2.136
KLBN11,KLABIN S/A,UNT     N2,765785673,0.689
RENT3,LOCALIZA,ON  EJ  NM,965986531,1.564
LREN3,LOJAS RENNER,ON  EJ  NM,1051120777,0.624
LWSA3,LWSA,ON      NM,389635155,0.05
MGLU3,MAGAZ LUIZA,ON      NM,353448195,0.174
POMO4,MARCOPOLO,PN      N2,666378439,0.22
MRFG3,MARFRIG,ON      NM,302019876,0.246
BEEF3,MINERVA,ON      NM,261359935,0.071
MRVE3,MRV,ON      NM,377241484,0.093
MULT3,MULTIPLAN,ON      N2,314150156,0.342
PCAR3,P.ACUCAR-CBD,ON      NM,462534972,0.059
PETR3,PETROBRAS,ON      N2,2255782178,4.355
PETR4,PETROBRAS,PN      N2,4431132660,7.791
RECV3,PETRORECSA,ON      NM,275170410,0.218
PRIO3,PETRORIO,ON      NM,779999989,1.49
PETZ3,PETZ,ON      NM,293689428,0.058
PSSA3,PORTO SEGURO,ON      NM,182560698,0.359
RADL3,RAIADROGASIL,ON      NM,1286616979,1.16
RAIZ4,RAIZEN,PN      N2,1198936529,0.107
RDOR3,REDE D OR,ON  EJ  NM,1145289019,1.554
RAIL3,RUMO S.A.,ON      NM,1216914397,0.977
SBSP3,SABESP,ON      NM,683508568,3.265
SANB11,SANTANDER BR,UNT,356586730,0.457
STBP3,SANTOS BRP,ON      NM,855712622,0.534
SMTO3,SAO MARTINHO,ON      NM,128130966,0.127
CSNA3,SID NACIONAL,ON,727459637,0.341
SLCE3,SLC AGRICOLA,ON      NM,194261422,0.167
SUZB3,SUZANO S.A.,ON      NM,630821784,1.588
TAEE11,TAESA,UNT     N2,218568234,0.349
VIVT3,TELEF BRASIL,ON  EJ,382442128,0.901
TIMS3,TIM,ON      NM,807495418,0.671
TOTS3,TOTVS,ON  EJ  NM,540206440,0.841
UGPA3,ULTRAPAR,ON      NM,1090134379,0.908
USIM5,USIMINAS,PNA     N1,515193199,0.144
VALE3,VALE,ON      NM,4270903023,11.586
VAMO3,VAMOS,ON      NM,485166826,0.12
VBBR3,VIBRA,ON  EJ  NM,1023538460,0.853
VIVA3,VIVARA S.A.,ON      NM,125446075,0.116
WEGE3,WEG,ON  EJ  NM,1243177587,2.732
YDUQ3,YDUQS PART,ON      NM,277677050,0.151
