data_vencimento,preco,data_preco
Fev-25,0.12279999999999999,hoje
Mar-25,0.1278,hoje
Abr-25,0.13102,hoje
Mai-25,0.13425,hoje
Jun-25,0.1373,hoje
Jul-25,0.14,hoje
Ago-25,0.1421,hoje
Set-25,0.1442,hoje
Out-25,0.14550000000000002,hoje
Nov-25,0.14730000000000001,hoje
Dez-25,0.1487,hoje
Jan-26,0.1497,hoje
Abr-26,0.1524,hoje
Jul-26,0.1535,hoje
Out-26,0.15355,hoje
Jan-27,0.1534,hoje
Abr-27,0.1532,hoje
Jul-27,0.15295,hoje
Out-27,0.15265,hoje
Jan-28,0.15234999999999999,hoje
Abr-28,0.15185,hoje
Jul-28,0.1516,hoje
Out-28,0.15109999999999998,hoje
Jan-29,0.15045,hoje
Abr-29,0.15035,hoje
Jul-29,0.14975,hoje
Out-29,0.1496,hoje
Jan-30,0.14895,hoje
Jan-31,0.1475,hoje
Jan-32,0.1461,hoje
Jan-33,0.145,hoje
Jan-34,0.1438,hoje
Jan-35,0.1427,hoje
Jan-37,0.14300000000000002,hoje
Fev-24,0.11652,um_ano_atras
Mar-24,0.11385999999999999,um_ano_atras
Abr-24,0.11252000000000001,um_ano_atras
Mai-24,0.11085,um_ano_atras
Jun-24,0.1092,um_ano_atras
Jul-24,0.10765000000000001,um_ano_atras
Ago-24,0.10605,um_ano_atras
Set-24,0.10460000000000001,um_ano_atras
Out-24,0.10335000000000001,um_ano_atras
Nov-24,0.10235,um_ano_atras
Dez-24,0.10164999999999999,um_ano_atras
Jan-25,0.10095000000000001,um_ano_atras
Abr-25,0.09939999999999999,um_ano_atras
Jul-25,0.09815,um_ano_atras
Out-25,0.0977,um_ano_atras
Jan-26,0.09720000000000001,um_ano_atras
Abr-26,0.09759999999999999,um_ano_atras
Jul-26,0.09785,um_ano_atras
Out-26,0.0984,um_ano_atras
Jan-27,0.09855,um_ano_atras
Abr-27,0.0993,um_ano_atras
Jul-27,0.0999,um_ano_atras
