manchete,subtopico,link,topico,jornal,tema
"

                        A ‘desmontagem rápida e não programada’ do Governo dos EUA                    
","
 EUA 
",https://braziljournal.com/a-desmontagem-rapida-e-nao-programada-do-governo-dos-eua/,,brazil_journal,economia
"

                        Apollo: Demissões do DOGE podem esfriar a economia e afetar os mercados                    
","

                                    EUA 
                                
",https://braziljournal.com/apollo-demissoes-do-doge-podem-esfriar-a-economia-e-afetar-os-mercados/,,brazil_journal,economia
"

                        Nuremberg ensina: justiça não é vingança                    
","

                                    Mercado de ideias 
                                
",https://braziljournal.com/nuremberg-ensina-justica-nao-e-vinganca/,,brazil_journal,economia
"

                        OPINIÃO. ‘Trumpulência’ e o redesenho do mundo                     
","

                                    Mercado de ideias 
                                
",https://braziljournal.com/opiniao-trumpulencia-e-o-redesenho-do-mundo/,,brazil_journal,economia
"

                            EDITORIAL. O febeapá de Lula nos combustíveis                        
",Mercado de ideias,https://braziljournal.com/editorial-o-febeapa-de-lula-nos-combustiveis/,,brazil_journal,economia
"

                            ‘O delírio do dólar’: 6 razões para a queda do greenback                        
",EUA,https://braziljournal.com/o-delirio-do-dolar-6-razoes-para-a-queda-do-greenback/,,brazil_journal,economia
"

                        O chip da Amazon que pode tornar a computação quântica realidade                    
","
 Inteligência Artificial 
",https://braziljournal.com/o-chip-da-amazon-que-pode-tornar-a-computacao-quantica-realidade/,,brazil_journal,tech
"

                        Para bater no TikTok, Instagram planeja um app separado para o Reels                    
","

                                    Tecnologia & Internet 
                                
",https://braziljournal.com/para-bater-no-tiktok-instagram-planeja-um-app-separado-para-o-reels/,,brazil_journal,tech
"

                        Advolve atrai dona do iFood para escalar a IA no marketing de performance                    
","

                                    Startups 
                                
",https://braziljournal.com/advolve-atrai-dona-do-ifood-para-escalar-a-ia-no-marketing-de-performance/,,brazil_journal,tech
"

                        Empresa de cripto faz proposta pela Adecoagro, gigante de terras na Argentina                    
","

                                    Cripto & Blockchain 
                                
",https://braziljournal.com/empresa-de-cripto-faz-proposta-pela-adecoagro-gigante-de-terras-na-argentina/,,brazil_journal,tech
"

                            A Tempo quer massificar os assistentes pessoais (com AI, claro)                        
",Startups,https://braziljournal.com/a-tempo-quer-massificar-os-assistentes-pessoais-com-ai-claro/,,brazil_journal,tech
"

                            A oferta de Musk para controlar a OpenAI                        
",Inteligência Artificial,https://braziljournal.com/a-oferta-de-musk-para-controlar-a-openai/,,brazil_journal,tech
"Canadá, China e México anunciam novas taxas em resposta a 'tarifaço' de Trump",Comércio exterior,https://g1.globo.com/economia/noticia/2025/03/04/retaliacao-tarifas-trump.ghtml,economia,g1,
Trump promete tarifas a itens agrícolas importados,Presidente dos EUA,https://g1.globo.com/economia/noticia/2025/03/03/trump-promete-tarifas-a-produtos-agricolas-importados-e-pede-que-produtores-americanos-se-preparem.ghtml,economia,g1,
Indústria argentina vê acordo entre Mercosul e UE como oportunidade,Argentina,https://g1.globo.com/economia/noticia/2025/03/03/industria-argentina-relatorio.ghtml,economia,g1,
"'É uma coisa muito idiota de se fazer', diz primeiro-ministro do Canadá sobre tarifas de Trump",Economia,https://g1.globo.com/economia/noticia/2025/03/04/trudeau-tarifaco-trump.ghtml,economia,g1,
'Tarifaço' de Trump: dólar e bolsas internacionais vivem dia de queda generalizada por medo de guerra comercial,Economia,https://g1.globo.com/economia/noticia/2025/03/04/mercados-internacionais-reacao-de-china-mexico-e-canada-a-tarifaco-de-trump.ghtml,economia,g1,
"Mundo tem 24 superbilionários, ricos com fortunas acima de US$ 50 bilhões; Elon Musk lidera a lista",Economia,https://g1.globo.com/economia/negocios/noticia/2025/03/04/mundo-tem-24-superbilionarios-ricos-com-fortunas-acima-de-us-50-bilhoes-elon-musk-lidera-a-lista.ghtml,economia,g1,
SpaceX cancela novo teste da Starship durante a contagem regressiva para o lançamento,Economia,https://g1.globo.com/inovacao/noticia/2025/03/03/spacex-teste-starship.ghtml,tech,g1,
Outlook e outros serviços da Microsoft apresentaram instabilidade para alguns usuários,Economia,https://g1.globo.com/tecnologia/noticia/2025/03/01/outlook-e-outros-servicos-da-microsoft-apresentam-instabilidade-para-alguns-usuarios.ghtml,tech,g1,
Elon Musk teve 14 filhos de 4 mulheres: saiba quem é quem na vida familiar do bilionário,Economia,https://g1.globo.com/tecnologia/noticia/2025/03/01/elon-musk-teve-14-filhos-de-4-mulheres-saiba-quem-e-quem-na-vida-familiar-do-bilionario.ghtml,tech,g1,
Bilionário Elon Musk tem o 14º filho confirmado; saiba quem é ,Economia,https://g1.globo.com/tecnologia/noticia/2025/03/01/bilionario-elon-musk-tem-o-14o-filho-confirmado-saiba-quem-e.ghtml,tech,g1,
"OpenAI lança nova versão do ChatGPT, chamada GPT-4.5, para usuários pagantes",Economia,https://g1.globo.com/tecnologia/noticia/2025/02/28/openai-lanca-nova-versao-do-chatgpt-chamada-gpt-45-para-usuarios-pagantes.ghtml,tech,g1,
WhatsApp é normalizado após apresentar instabilidade nesta sexta,Economia,https://g1.globo.com/tecnologia/noticia/2025/02/28/whatsapp-apresenta-instabilidade-nesta-sexta.ghtml,tech,g1,
Guerra tarifária e tensão entre EUA e Ucrânia derrubam mercados globais,Mercados,https://valor.globo.com/financas/noticia/2025/03/04/guerra-tarifria-e-tenso-entre-eua-e-ucrnia-derrubam-mercados-globais.ghtml,economia,valor_economico,
Por dentro do J.P. Morgan de Jamie Dimon: funcionários inquietos em meio a lucros recordes,Turbulência,https://valor.globo.com/financas/noticia/2025/03/04/por-dentro-do-jp-morgan-de-jamie-dimon-funcionrios-inquietos-em-meio-a-lucros-recordes.ghtml,economia,valor_economico,
Gestora abandona marca ridicularizada após 4 anos e ações disparam,Reposicionamento,https://valor.globo.com/financas/noticia/2025/03/04/gestora-abandona-marca-ridicularizada-apos-4-anos-e-acoes-disparam.ghtml,economia,valor_economico,
Ex-banqueiros do Credit Suisse são banidos no Reino Unido por papel no escândalo dos 'títulos de atum',Regulação,https://valor.globo.com/financas/noticia/2025/03/04/ex-banqueiros-do-credit-suisse-sao-banidos-no-reino-unido-por-papel-no-escandalo-dos-titulos-de-atum.ghtml,economia,valor_economico,
Bancos abrem no Carnaval? Veja o expediente em 2025,Finanças,https://valor.globo.com/financas/noticia/2025/03/03/veja-o-expediente-bancario-no-carnaval-2025.ghtml,economia,valor_economico,
Nova regulamentação para Fiagro entra em vigor,Mercado de capitais,https://valor.globo.com/financas/noticia/2025/03/03/nova-regra-para-fiagro-entra-em-vigor-com-opes-de-investimentos-ampliadas.ghtml,economia,valor_economico,
Saiba onde o condomínio é mais caro em São Paulo,Imóveis,https://valor.globo.com/empresas/noticia/2025/03/02/saiba-onde-o-condomnio-mais-caro-em-so-paulo.ghtml,tech,valor_economico,
"Dona da Shopee tem lucro no 4º trimestre e vê receitas subirem 36,9% no ano",Varejo,https://valor.globo.com/empresas/noticia/2025/03/04/dona-da-shopee-tem-lucro-no-4o-trimestre-e-ve-receitas-subirem-369percent-no-ano.ghtml,tech,valor_economico,
